"student_id","student_skills","student_interests","career_goal","education","experience","location_preference","eligibility","opportunity_id","required_skills","opportunity_interests","career_field","opportunity_type","opportunity_location","experience_required","opportunity_eligibility","skill_match_percentage","number_of_matched_skills","number_of_missing_skills","interest_match","career_goal_match","eligibility_match","location_match","experience_match","label"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","1","HTML;CSS;JavaScript;React","Web Development","Web Development","Internship","Remote","0","Open","25","1","3","0","0","1","0","1","1"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","2","HTML;CSS;JavaScript;Vue.js","Web Development","Web Development","Full-time","Onsite","1","Open","25","1","3","0","0","1","1","1","1"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","3","SQL;Excel;Python","Data Analysis","Data Science","Internship","Remote","0","Open","0","0","3","0","0","1","0","1","0"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","4","Python;TensorFlow;Data Science","Machine Learning","AI","Full-time","Onsite","2","Open","0","0","3","0","0","1","1","1","0"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","5","Node.js;Express;JavaScript","Backend Development","Backend Development","Internship","Remote","0","Open","67","2","1","1","1","1","0","1","3"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","6","HTML;CSS;JavaScript;React;Node.js","Web Development","Web Development","Full-time","Remote","1","Open","20","1","4","0","0","1","0","1","1"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","7","Java;Android;Git","Mobile Apps","Mobile Development","Internship","Remote","0","Open","0","0","3","0","0","1","0","1","0"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","8","Figma;User Research","Design","Design","Full-time","Onsite","1","Open","0","0","2","0","0","1","1","1","0"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","9","Docker;Kubernetes;CI/CD","Infrastructure","DevOps","Full-time","Remote","2","Open","33","1","2","0","0","1","0","1","1"
"35","Express;JavaScript;Docker","Backend Development","Backend Development","M.Tech","3","Onsite","Restricted","10","Communication;Agile","Product","Product Management","Internship","Onsite","0","Open","0","0","2","0","0","1","1","1","0"
